cell_id,group,cluster,c_gini,hcluster,e_PC1,e_PC2,e_TSNE1,e_TSNE2,e_UMAP1,e_UMAP2
SRR054626,A2,7,0.231,7,47.52204931390355,-0.26296120693290365,-5.944116,1.0374864,-14.088049,-0.28323278
SRR054632,A2,7,0.2342,7,48.00586923048195,-0.519784964208952,-5.96288,1.0435148,-13.979538,-0.19980255
SRR054633,A2,7,0.2236,7,44.117946866392636,3.1499221275175766,-5.9344416,1.0235302,-14.113862,-0.41545275
SRR054634,A2,7,0.2422,7,46.46986319081626,-1.912876716980102,-5.938948,1.0340837,-14.278768,-0.40115857
SRR054607,A1,6,0.2022,6,145.93474543996692,18.08380062062335,-7.827901,1.6625497,-14.859572,-0.7104227
SRR054604,A1,5,0.2276,5,142.08479047982507,-7.9828898591247395,-7.733877,1.2902726,-14.679794,-0.6070827
SRR054592,A1,4,0.2346,4,83.56648250404244,-6.19986468100169,-7.521707,2.6107483,-15.821539,-1.1209458
SRR054594,A1,4,0.2342,4,82.13262340093219,-5.32176884256153,-7.495153,2.54628,-15.594314,-1.093133
SRR054596,A1,4,0.2392,4,70.22537256688358,-7.1266439482733634,-7.418546,3.0228183,-15.388247,-0.64200747
SRR054597,A1,4,0.2368,4,80.11665660847669,-1.9265541619333357,-7.48897,2.7190177,-15.801643,-1.2140568
SRR054598,A1,4,0.2326,4,70.15903377618017,1.4162828956614804,-6.9431324,2.9561415,-15.880605,-0.1912974
SRR054600,A1,4,0.2336,4,80.4373512285452,-3.810533628574312,-7.4203167,2.667192,-15.243324,-0.5039539
SRR054601,A1,4,0.2394,4,79.10163617598856,-8.957919691901127,-7.1111073,2.3780534,-15.455275,0.1712459
SRR054602,A1,4,0.2346,4,86.40416439793773,-3.9339867249380465,-7.5071297,2.5396411,-15.413471,-1.0554483
SRR054603,A1,4,0.2314,4,79.73297267454403,-2.171973765849239,-7.213051,2.4820876,-15.406993,-0.19493188
SRR054605,A1,4,0.22899999999999998,4,74.00004687391224,-0.4663826458608268,-6.824454,2.6440825,-15.380993,0.4230991
SRR054606,A1,4,0.2236,4,73.04729403066062,-0.5229425734917744,-7.185727,2.8961446,-15.538642,-0.62470996
SRR054608,A1,4,0.2352,4,75.31621004416397,-3.27029797050304,-6.958826,2.5718575,-15.151083,0.39468268
SRR054609,A1,4,0.2436,4,73.85605432256249,-3.9187516510379354,-7.306207,2.9390965,-15.911734,-0.82400054
SRR054610,A1,4,0.2152,4,71.8732145735307,-2.0929534689406486,-7.2985935,2.7385883,-15.788429,-0.31543347
SRR054611,A1,4,0.2456,4,70.96697497767775,-3.6806419262860253,-7.1852255,3.0792081,-15.939122,-0.7309369
SRR054612,A1,4,0.239,4,82.56550128911634,-3.2751654285379344,-7.2392373,2.4115136,-14.9755335,-0.18429317
SRR054613,A1,4,0.2156,4,79.08810095197137,-2.8038482935736675,-7.140845,2.3034055,-15.038376,0.15693334
SRR054614,A1,4,0.2096,4,68.07801446172938,0.31201185467168024,-6.960687,2.7765863,-15.539877,-0.13622488
SRR054615,A1,4,0.2236,4,74.42648084244064,-0.6355651813003943,-6.8338075,2.6502247,-15.589105,0.37605298
SRR054616,A1,4,0.2232,4,78.90720554852827,-5.574580416642128,-7.092366,2.4908671,-14.977391,0.1718877
SRR054618,A1,4,0.222,4,81.98069941118345,-3.5988810837521923,-7.4587154,2.5869827,-15.99611,-1.0976771
SRR054620,A1,4,0.2154,4,79.1418301743272,-1.6015308746897683,-7.338779,2.645091,-15.720822,-0.5845613
SRR054622,A1,4,0.23,4,78.86968612870068,-5.57469984964757,-7.0903583,2.4951487,-15.144787,-0.0001326515
SRR053676,H,3,0.251,3,-41.40052054848603,-33.32704640905706,5.377739,-8.134075,-7.319173,16.659653
SRR053677,H,3,0.2354,3,-38.66495710928962,-31.966230530541647,5.519456,-7.382333,-6.4097033,17.233343
SRR053678,H,3,0.2476,3,-33.50513058711714,-34.53298121550047,5.206997,-8.032676,-7.2193637,16.812366
SRR053679,H,3,0.2492,3,-36.52784736469957,-35.23984580658056,5.3700323,-7.8710155,-7.2679434,17.128141
SRR053680,H,3,0.2498,3,-37.553386908975924,-34.652422315530984,5.659029,-7.7481446,-6.4877353,17.423956
SRR053681,H,3,0.2504,3,-39.09670242154925,-30.41243331509376,5.930095,-8.341829,-6.5914106,17.822678
SRR054213,H,3,0.2454,3,-34.274975103351764,-35.58425492497501,5.510315,-7.8459005,-7.0436497,17.140776
SRR054565,H,3,0.2658,3,-28.18214158049816,-36.72521396745651,5.0366135,-8.2567215,-7.193233,17.227392
SRR054566,H,3,0.2326,3,-37.43249892190127,-33.201162842429866,5.786026,-7.763198,-6.8576016,17.677328
SRR054567,H,3,0.25,3,-36.767913702528936,-34.1169232946832,5.9980497,-7.537566,-6.3849397,17.041052
SRR054568,H,3,0.2374,3,-35.30511373193965,-34.74313987992485,5.5128098,-7.8063807,-7.4098945,17.128012
SRR054569,H,3,0.2318,3,-37.10329272658373,-34.60624506640882,5.771878,-7.626429,-6.5182066,17.10724
SRR054570,H,3,0.2262,3,-37.283975293154484,-33.593778986950895,5.4646096,-7.774994,-6.926445,17.101568
SRR054571,H,3,0.2384,3,-36.70439684743237,-35.26871062409668,5.384945,-7.8548665,-7.023282,16.644886
SRR054572,H,3,0.2604,3,-28.431193816172897,-33.526589097689715,4.8151474,-7.81472,-7.0006547,16.706026
SRR054573,H,3,0.2336,3,-37.93413851148749,-33.165758750990605,5.7861986,-7.735739,-6.9288597,17.519552
